SimMethod;Method;FDR;Sensitivity;Type1Error;SampleSize;Beta;CausalTaxa;Setting
MIDASim;LinDA;0.0155793650793651;0.0897777777777778;0.000210896309314587;50;5;61;Setting 5
MIDASim;ZicoSeq;0.0585431529486426;0.0938833495394755;0.0322435970326626;50;5;61;Setting 5
MIDASim;LinDA;0.0886274361938017;0.546923076923077;0.00401739130434783;200;5;61;Setting 6
MIDASim;ZicoSeq;0.0378528549788283;0.598692386045327;0.0122227537180872;200;5;61;Setting 6
MIDASim;LinDA;0;0;0;50;1.5;123;Setting 7
MIDASim;ZicoSeq;0.0533333333 ;0.0019882353 ;0.0009634167 ;50;1.5;123;Setting 7
MIDASim;LinDA;0.015;0.00183673469387755;0.00003539823;200;1.5;123;Setting 8
MIDASim;ZicoSeq;0.093583333 ;0.024408203 ;0.002531114 ;200;1.5;123;Setting 8
MIDASim;LinDA;0.095;0.00339622641509434;0.000267379679144385;50;3;123;Setting 9
MIDASim;ZicoSeq;0.18342857  ;0.03681233  ;0.01145897 ;50;3;123;Setting 9
MIDASim;LinDA;0.0164186507936508;0.177307692307692;0.000284697508896797;200;3;123;Setting 10
MIDASim;ZicoSeq;0.135136798755415;0.14946887755102;0.059123243117319;200;3;123;Setting 10
MIDASim;LinDA;0.0348989508943069;0.166938775510204;0.000831858407079646;50;5;123;Setting 11
MIDASim;ZicoSeq;0.00391304347826087;0.0137467532467532;0.00131205780520849;50;5;123;Setting 11
MIDASim;LinDA;0.745123962960747;0.203571428571429;0.0607168458781362;200;5;123;Setting 12
MIDASim;ZicoSeq;0.665621372587265;0.31096618647459;0.430630467500096;200;5;123;Setting 12
MIDASim;ANCOMBC2;0.82953001;0.03214126;0.05204233;50;1.5;61;Setting 1
MIDASim;ANCOMBC2;0.742803779253083;0.0774695537305831;0.0771392886256937;200;1.5;61;Setting 2
MIDASim;ANCOMBC2;0.675051476301476;0.0706328513387337;0.0491716968850289;50;3;61;Setting 3
MIDASim;ANCOMBC2;0.322559969439443;0.434859287859288;0.0775894983268107;200;3;61;Setting 4
MIDASim;ANCOMBC2;0.385245851757462;0.174172563586914;0.052390756839923;50;5;61;Setting 5
MIDASim;ANCOMBC2;0.202149631872028;0.770005092946269;0.0743598901476095;200;5;61;Setting 6
MIDASim;ANCOMBC2;0.792056963504332;0.0273615276879983;0.0581130487399605;50;1.5;123;Setting 7
MIDASim;ANCOMBC2;0.746612687965629;0.0551343866222532;0.0792025498907931;200;1.5;123;Setting 8
MIDASim;ANCOMBC2;0.614182742626796;0.0661017406962785;0.0518596513196669;50;3;123;Setting 9
MIDASim;ANCOMBC2;0.370257578108154;0.308152721088435;0.10046681346455;200;3;123;Setting 10
MIDASim;ANCOMBC2;0.405285652923377;0.163908068486861;0.0566096009660727;50;5;123;Setting 11
MIDASim;ANCOMBC2;0.242858717853416;0.583111703142796;0.096896482355228;200;5;123;Setting 12
MIDASim;ALDEx2;0;0;0;50;1.5;61;Setting 1
MIDASim;ALDEx2;0;0.000540540540540541;0;200;1.5;61;Setting 2
MIDASim;ALDEx2;0;0.00641025641025641;0;50;3;61;Setting 3
