SimMethod;Method;FDR;Sensitivity;Type1Error;SampleSize;Beta;CausalTaxa;Setting
MIDASim;LinDA;0.0524976772445545;0.2788;0.011625;200;1.5;50;Setting 12
MIDASim;ZicoSeq;0.329732644118859;0.230175510204082;0.253403377158449;200;1.5;50;Setting 12
MIDASim;Corncob;0.0803766125334461;0.4746;0.0321346153846154;200;1.5;50;Setting 12
MIDASim;ADAPT;0.168617560035187;0.254244897959184;0.0494920512019023;50;3;50;Setting 13
MIDASim;DESeq2;0.189518918651746;0.4758;0.0906797540717259;50;3;50;Setting 13
MIDASim;ALDEx2;0.0370889862848;0.2212;0.00703538710210114;50;3;50;Setting 13
MIDASim;ANCOMBC2;0.0514378527513875;0.33769387755102;0.0163005453434873;50;3;50;Setting 13
MIDASim;LinDA;0.0358638952186099;0.43;0.010125;50;3;50;Setting 13
MIDASim;ZicoSeq;0.347804975188136;0.157762585034014;0.242762918595412;50;3;50;Setting 13
MIDASim;Corncob;0.0949672342609075;0.5512;0.0456291941448439;50;3;50;Setting 13
MIDASim;ADAPT;0.0438116853026622;0.8314;0.034135300993571;200;3;50;Setting 14
MIDASim;DESeq2;0.337472537105651;0.9038;0.359408653846154;200;3;50;Setting 14
MIDASim;ALDEx2;0.140562470343499;0.7786;0.104959134615385;200;3;50;Setting 14
MIDASim;ANCOMBC2;0.0535878177779309;0.848367346938775;0.0422669216876206;200;3;50;Setting 14
MIDASim;LinDA;0.0344610262225696;0.8606;0.0195;200;3;50;Setting 14
MIDASim;ZicoSeq;0.60503783559949;0.357810714285714;0.7626073977363;200;3;50;Setting 14
MIDASim;Corncob;0.0883569822411348;0.923;0.0717596153846154;200;3;50;Setting 14
MIDASim;ADAPT;0.0860842649246557;0.5822;0.0491060689253488;50;5;50;Setting 15
MIDASim;DESeq2;0.315140597042356;0.7322;0.276911509936439;50;5;50;Setting 15
MIDASim;ALDEx2;0.15123333695711;0.3892;0.0553966979758421;50;5;50;Setting 15
MIDASim;ANCOMBC2;0.0971368559100736;0.454232653061225;0.0342638705844895;50;5;50;Setting 15
MIDASim;LinDA;0.0526744257868788;0.6574;0.022875;50;5;50;Setting 15
MIDASim;ZicoSeq;0.723187634132942;0.153575510204082;0.614437845769065;50;5;50;Setting 15
MIDASim;Corncob;0.230022795948403;0.6428;0.158781870402114;50;5;50;Setting 15
MIDASim;ADAPT;0.0338360948667865;0.9504;0.0294839083653505;200;5;50;Setting 16
MIDASim;DESeq2;0.439574657974411;0.9724;0.591086538461538;200;5;50;Setting 16
MIDASim;ALDEx2;0.43019412483759;0.8726;0.509925480769231;200;5;50;Setting 16
MIDASim;ANCOMBC2;0.0847474105382518;0.9122;0.074225335401625;200;5;50;Setting 16
MIDASim;LinDA;0.042273625277205;0.9598;0.02775;200;5;50;Setting 16
MIDASim;ZicoSeq;0.568671673738357;0.5036;0.912460182728953;200;5;50;Setting 16
MIDASim;Corncob;0.240021917344107;0.9728;0.247098557692308;200;5;50;Setting 16
MIDASim;camp;0.0425;0.0535;0.000909090909090909;50;1.5;20;Setting 3
MIDASim;camp;0.0427380952380952;0.1075;0.00163636363636364;200;1.5;20;Setting 4
MIDASim;camp;0.0548928571428571;0.1875;0.00309090909090909;50;3;20;Setting 5
MIDASim;camp;0.0375810016007384;0.585;0.00509090909090909;200;3;20;Setting 6
MIDASim;camp;0.0722413403589874;0.5315;0.00963636363636364;50;5;20;Setting 7
MIDASim;camp;0.0390739643572327;0.868;0.007;200;5;20;Setting 8
MIDASim;camp;0.0270119047619048;0.0662;0.00225;50;1.5;50;Setting 11
MIDASim;camp;0.0387170444498031;0.1752;0.006125;200;1.5;50;Setting 12
MIDASim;camp;0.032947490294393;0.2702;0.006625;50;3;50;Setting 13
MIDASim;camp;0.0461892353109015;0.7414;0.022625;200;3;50;Setting 14
MIDASim;camp;0.0204326608689905;0.4756;0.007375;50;5;50;Setting 15
